G,Date,Age,Tm,At,Opp,Point_Dif,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player,Pos
1,2022-10-19,23-030,TOR,,CLE,W (+3),0,17.9,4,11,0.364,1,4,0.25,1,2,0.5,1,4,5,0,0,0,0,1,10,5.0,-4.0,achiupr01,C
2,2022-10-21,23-032,TOR,@,BKN,L (-4),0,17.5,1,6,0.167,0,1,0.0,2,3,0.667,0,6,6,0,0,0,3,2,4,-2.2,-8.0,achiupr01,C
3,2022-10-22,23-033,TOR,@,MIA,L (-3),0,33.5,5,9,0.556,2,5,0.4,6,7,0.857,3,8,11,1,0,0,1,1,18,17.1,16.0,achiupr01,C
4,2022-10-24,23-035,TOR,@,MIA,W (+8),0,33.7,5,12,0.417,0,1,0.0,0,1,0.0,4,18,22,2,0,1,0,2,10,12.7,10.0,achiupr01,C
5,2022-10-26,23-037,TOR,,PHI,W (+10),0,21.3,3,7,0.429,1,3,0.333,0,0,,3,3,6,4,0,0,2,3,7,5.9,14.0,achiupr01,C
6,2022-10-28,23-039,TOR,,PHI,L (-22),0,14.9,0,6,0.0,0,3,0.0,0,0,,2,1,3,1,0,1,2,1,0,-3.5,-10.0,achiupr01,C
7,2022-10-31,23-042,TOR,,ATL,W (+30),0,17.8,2,3,0.667,0,1,0.0,6,6,1.0,0,3,3,1,0,0,1,1,10,8.9,11.0,achiupr01,C
8,2022-11-02,23-044,TOR,@,SAS,W (+43),0,21.0,4,9,0.444,0,3,0.0,4,4,1.0,0,6,6,1,1,1,1,1,12,10.1,6.0,achiupr01,C
9,2022-11-04,23-046,TOR,@,DAL,L (-1),0,26.6,4,9,0.444,1,3,0.333,6,6,1.0,3,5,8,2,0,1,2,1,15,13.6,2.0,achiupr01,C
10,2022-11-06,23-048,TOR,,CHI,W (+9),0,14.2,2,6,0.333,0,2,0.0,1,2,0.5,3,1,4,2,1,1,1,3,5,4.5,-20.0,achiupr01,C
11,2022-11-07,23-049,TOR,@,CHI,L (-14),0,13.9,4,6,0.667,0,0,,2,2,1.0,1,3,4,1,0,1,0,1,10,10.0,-16.0,achiupr01,C
12,2022-11-09,23-051,TOR,,HOU,W (+7),0,12.5,2,8,0.25,0,2,0.0,0,0,,4,2,6,1,0,1,2,2,4,1.2,-11.0,achiupr01,C
13,2023-01-02,23-105,TOR,@,IND,L (-8),0,12.4,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0,2,1,3,0,2,3,4.6,-11.0,achiupr01,C
14,2023-01-04,23-107,TOR,,MIL,L (-3),0,11.9,1,5,0.2,0,2,0.0,0,0,,1,1,2,0,0,0,1,0,2,-1.1,-5.0,achiupr01,C
15,2023-01-06,23-109,TOR,,NYK,L (-4),0,4.6,1,3,0.333,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,2,1.3,-7.0,achiupr01,C
16,2023-01-08,23-111,TOR,,POR,W (+12),0,10.7,2,6,0.333,0,2,0.0,0,0,,0,2,2,0,0,1,0,0,4,1.9,-4.0,achiupr01,C
17,2023-01-10,23-113,TOR,,CHA,W (+12),0,13.8,5,9,0.556,3,5,0.6,0,0,,0,2,2,0,0,1,1,2,13,8.2,8.0,achiupr01,C
18,2023-01-12,23-115,TOR,,CHA,W (+10),0,17.6,4,7,0.571,1,3,0.333,1,3,0.333,1,1,2,0,5,0,2,1,10,9.5,-1.0,achiupr01,C
19,2023-01-14,23-117,TOR,,ATL,L (-11),0,27.6,5,9,0.556,0,1,0.0,4,5,0.8,3,1,4,1,1,0,2,4,14,9.8,-4.0,achiupr01,C
20,2023-01-16,23-119,TOR,@,NYK,W (+2),0,20.4,2,6,0.333,0,2,0.0,4,4,1.0,1,7,8,0,0,0,0,3,8,6.2,-8.0,achiupr01,C
21,2023-01-17,23-120,TOR,@,MIL,L (-8),0,26.0,4,10,0.4,2,3,0.667,1,2,0.5,5,2,7,0,0,1,1,2,11,8.2,4.0,achiupr01,C
22,2023-01-19,23-122,TOR,@,MIN,L (-2),0,20.8,5,8,0.625,1,1,1.0,0,4,0.0,3,1,4,1,0,2,0,2,11,9.5,2.0,achiupr01,C
23,2023-01-21,23-124,TOR,,BOS,L (-2),1,37.3,7,15,0.467,1,3,0.333,2,2,1.0,1,10,11,3,2,2,2,2,17,15.7,13.0,achiupr01,C
24,2023-01-22,23-125,TOR,,NYK,W (+9),1,35.5,2,4,0.5,0,0,,8,10,0.8,4,7,11,1,2,0,2,5,12,12.8,3.0,achiupr01,C
25,2023-01-25,23-128,TOR,@,SAC,W (+18),0,28.2,9,12,0.75,1,3,0.333,0,0,,1,4,5,0,0,0,3,3,19,11.9,3.0,achiupr01,C
26,2023-01-27,23-130,TOR,@,GSW,L (-12),0,36.5,8,12,0.667,0,2,0.0,1,3,0.333,5,6,11,2,1,0,2,2,17,15.9,-8.0,achiupr01,C
27,2023-01-28,23-131,TOR,@,POR,W (+18),1,33.4,11,16,0.688,1,2,0.5,4,4,1.0,3,10,13,0,2,1,2,3,27,24.8,27.0,achiupr01,C
28,2023-01-30,23-133,TOR,@,PHO,L (-8),1,34.0,5,9,0.556,0,1,0.0,1,2,0.5,5,7,12,1,1,1,1,3,11,12.1,-6.0,achiupr01,C
29,2023-02-01,23-135,TOR,@,UTA,L (-3),1,25.4,6,8,0.75,0,0,,1,4,0.25,5,1,6,1,1,1,0,4,13,13.2,3.0,achiupr01,C
30,2023-02-03,23-137,TOR,@,HOU,W (+6),1,29.4,2,7,0.286,0,2,0.0,5,9,0.556,3,5,8,2,1,1,2,6,9,5.6,-7.0,achiupr01,C
31,2023-02-05,23-139,TOR,@,MEM,W (+3),1,30.7,5,12,0.417,0,3,0.0,0,0,,1,6,7,0,4,0,0,1,10,9.7,-11.0,achiupr01,C
32,2023-02-08,23-142,TOR,,SAS,W (+14),1,28.1,4,6,0.667,1,2,0.5,1,2,0.5,1,6,7,0,1,2,1,4,10,9.3,-1.0,achiupr01,C
33,2023-02-10,23-144,TOR,,UTA,L (-6),1,30.9,7,11,0.636,2,4,0.5,0,0,,1,3,4,4,0,0,1,4,16,12.9,-5.0,achiupr01,C
34,2023-02-12,23-146,TOR,,DET,W (+1),1,33.0,4,10,0.4,0,2,0.0,3,6,0.5,4,7,11,1,0,0,0,2,11,9.2,5.0,achiupr01,C
35,2023-02-14,23-148,TOR,,ORL,W (+10),1,33.6,4,7,0.571,1,2,0.5,2,2,1.0,3,10,13,0,0,1,3,2,11,9.7,11.0,achiupr01,C
36,2023-02-23,23-157,TOR,,NOP,W (+5),0,19.9,2,6,0.333,0,1,0.0,2,2,1.0,0,6,6,0,0,1,2,1,6,2.7,4.0,achiupr01,C
37,2023-02-25,23-159,TOR,@,DET,W (+4),0,21.6,3,8,0.375,0,0,,4,7,0.571,1,5,6,3,0,0,1,3,10,6.5,2.0,achiupr01,C
38,2023-02-26,23-160,TOR,@,CLE,L (-25),0,16.1,3,6,0.5,1,1,1.0,0,0,,1,2,3,0,0,0,2,1,7,2.9,-10.0,achiupr01,C
39,2023-02-28,23-162,TOR,,CHI,W (+6),0,12.2,2,6,0.333,0,1,0.0,0,0,,3,0,3,0,0,0,0,1,4,2.3,-14.0,achiupr01,C
40,2023-03-02,23-164,TOR,@,WAS,L (-11),0,12.7,1,2,0.5,0,0,,0,0,,0,4,4,0,0,1,1,1,2,1.5,-15.0,achiupr01,C
41,2023-03-04,23-166,TOR,@,WAS,W (+7),0,18.6,2,6,0.333,0,1,0.0,0,0,,1,1,2,0,1,0,2,1,4,0.2,17.0,achiupr01,C
42,2023-03-06,23-168,TOR,@,DEN,L (-5),0,19.4,3,4,0.75,1,1,1.0,2,2,1.0,0,6,6,3,1,0,0,1,9,11.9,6.0,achiupr01,C
43,2023-03-08,23-170,TOR,@,LAC,L (-8),0,11.9,0,2,0.0,0,1,0.0,0,0,,0,3,3,0,0,0,1,3,0,-2.7,3.0,achiupr01,C
44,2023-03-10,23-172,TOR,@,LAL,L (-10),0,8.3,2,5,0.4,0,1,0.0,1,2,0.5,1,1,2,0,0,0,1,2,5,1.1,-10.0,achiupr01,C
45,2023-03-14,23-176,TOR,,DEN,W (+15),0,13.8,0,3,0.0,0,1,0.0,4,4,1.0,3,1,4,1,0,0,0,0,4,5.0,-13.0,achiupr01,C
46,2023-03-18,23-180,TOR,,MIN,W (+15),0,3.0,1,2,0.5,0,1,0.0,0,0,,0,1,1,0,0,0,1,1,2,-0.1,-4.0,achiupr01,C
47,2023-03-19,23-181,TOR,@,MIL,L (-7),0,19.7,2,3,0.667,0,1,0.0,1,2,0.5,1,4,5,3,0,1,0,1,5,7.6,7.0,achiupr01,C
48,2023-03-26,23-188,TOR,,WAS,W (+10),0,5.7,1,2,0.5,0,1,0.0,0,2,0.0,2,0,2,0,0,0,1,1,2,0.2,-10.0,achiupr01,C
49,2023-03-28,23-190,TOR,,MIA,W (+14),0,24.5,5,10,0.5,2,5,0.4,0,0,,2,7,9,2,1,1,2,1,12,11.2,1.0,achiupr01,C
50,2023-03-31,23-193,TOR,@,PHI,L (-7),0,7.1,2,5,0.4,0,2,0.0,0,0,,1,0,1,0,0,1,0,0,4,2.7,,achiupr01,C
51,2023-04-02,23-195,TOR,@,CHA,W (+20),0,12.5,4,7,0.571,0,1,0.0,0,0,,1,2,3,0,0,0,1,0,8,5.0,6.0,achiupr01,C
52,2023-04-04,23-197,TOR,@,CHA,W (+20),0,14.9,4,8,0.5,2,4,0.5,2,2,1.0,1,3,4,1,1,0,0,1,12,10.9,9.0,achiupr01,C
53,2023-04-05,23-198,TOR,@,BOS,L (-4),0,19.8,7,11,0.636,1,2,0.5,1,1,1.0,4,5,9,0,0,1,1,2,16,14.3,-4.0,achiupr01,C
54,2023-04-07,23-200,TOR,@,BOS,L (-19),0,23.5,6,10,0.6,1,3,0.333,3,3,1.0,2,5,7,0,1,0,0,3,16,14.1,-9.0,achiupr01,C
55,2023-04-09,23-202,TOR,,MIL,W (+16),1,28.4,6,11,0.545,2,5,0.4,0,0,,1,12,13,1,2,0,2,2,14,12.9,9.0,achiupr01,C
1,2022-10-19,29-091,MEM,,NYK,W (+3),1,32.5,1,2,0.5,0,0,,1,4,0.25,6,8,14,3,1,1,1,1,3,9.8,-1.0,adamsst01,C
2,2022-10-21,29-093,MEM,@,HOU,W (+7),1,33.2,3,4,0.75,0,0,,0,2,0.0,2,7,9,2,0,2,0,5,6,7.9,23.0,adamsst01,C
3,2022-10-22,29-094,MEM,@,DAL,L (-41),1,22.3,1,3,0.333,0,0,,0,2,0.0,1,3,4,1,1,4,3,1,2,2.2,-30.0,adamsst01,C
4,2022-10-24,29-096,MEM,,BKN,W (+10),1,31.3,3,5,0.6,0,0,,3,6,0.5,4,9,13,2,1,1,0,2,9,13.3,20.0,adamsst01,C
5,2022-10-27,29-099,MEM,@,SAC,W (+15),1,23.9,6,9,0.667,0,0,,0,3,0.0,7,4,11,4,0,0,4,4,12,10.2,2.0,adamsst01,C
6,2022-10-29,29-101,MEM,@,UTA,L (-1),1,19.2,1,2,0.5,0,0,,0,0,,5,5,10,1,1,1,4,4,2,2.8,11.0,adamsst01,C
7,2022-10-31,29-103,MEM,@,UTA,L (-16),1,18.5,1,4,0.25,0,0,,0,1,0.0,2,7,9,1,1,1,4,1,2,0.7,-11.0,adamsst01,C
8,2022-11-02,29-105,MEM,@,POR,W (+5),1,33.6,6,9,0.667,0,0,,2,3,0.667,4,7,11,5,0,2,1,2,14,17.7,-6.0,adamsst01,C
9,2022-11-04,29-107,MEM,,CHA,W (+31),1,21.7,6,10,0.6,0,0,,1,2,0.5,11,8,19,4,2,2,2,2,13,21.5,31.0,adamsst01,C
10,2022-11-06,29-109,MEM,,WAS,W (+6),1,22.2,2,2,1.0,0,0,,0,0,,5,5,10,1,0,0,1,3,4,6.9,9.0,adamsst01,C
11,2022-11-09,29-112,MEM,@,SAS,W (+2),1,37.4,3,4,0.75,0,0,,1,2,0.5,10,9,19,2,1,1,6,3,7,10.6,5.0,adamsst01,C
12,2022-11-11,29-114,MEM,,MIN,W (+11),1,26.9,1,3,0.333,0,0,,1,4,0.25,5,4,9,3,1,1,1,4,3,6.0,6.0,adamsst01,C
13,2022-11-13,29-116,MEM,@,WAS,L (-10),1,29.4,6,8,0.75,0,0,,0,0,,6,4,10,6,1,0,3,5,12,14.4,4.0,adamsst01,C
14,2022-11-15,29-118,MEM,@,NOP,L (-11),1,12.8,1,2,0.5,0,0,,0,2,0.0,2,3,5,1,0,0,2,3,2,0.0,-2.0,adamsst01,C
15,2022-11-18,29-121,MEM,,OKC,W (+11),1,25.3,3,3,1.0,0,0,,0,4,0.0,3,4,7,0,0,0,2,1,6,4.4,15.0,adamsst01,C
16,2022-11-20,29-123,MEM,@,BKN,L (-12),1,28.6,7,10,0.7,0,0,,1,8,0.125,4,6,10,2,3,0,5,2,15,11.2,3.0,adamsst01,C
17,2022-11-22,29-125,MEM,,SAC,L (-4),1,30.2,2,5,0.4,0,0,,1,4,0.25,5,11,16,0,0,1,3,3,5,4.4,1.0,adamsst01,C
18,2022-11-25,29-128,MEM,,NOP,W (+21),1,25.0,7,10,0.7,0,0,,1,2,0.5,4,7,11,1,1,0,2,1,15,14.6,26.0,adamsst01,C
19,2022-11-27,29-130,MEM,@,NYK,W (+4),1,31.3,6,9,0.667,0,0,,4,9,0.444,7,3,10,2,0,1,0,1,16,17.6,2.0,adamsst01,C
20,2022-11-30,29-133,MEM,@,MIN,L (-8),1,29.3,3,8,0.375,0,1,0.0,2,2,1.0,6,6,12,2,1,1,0,1,8,12.3,-3.0,adamsst01,C
21,2022-12-02,29-135,MEM,,PHI,W (+8),1,33.5,4,11,0.364,0,0,,1,2,0.5,10,6,16,6,3,3,3,4,9,16.0,-1.0,adamsst01,C
22,2022-12-05,29-138,MEM,,MIA,W (+8),1,27.9,4,6,0.667,0,0,,0,0,,1,3,4,1,0,0,1,2,8,5.9,-2.0,adamsst01,C
23,2022-12-07,29-140,MEM,,OKC,W (+21),1,20.9,4,4,1.0,0,0,,0,1,0.0,2,3,5,2,0,2,1,0,8,10.5,10.0,adamsst01,C
24,2022-12-09,29-142,MEM,,DET,W (+11),1,23.0,5,8,0.625,0,0,,0,2,0.0,3,5,8,4,1,1,2,1,10,11.3,17.0,adamsst01,C
25,2022-12-15,29-148,MEM,,MIL,W (+41),1,20.6,4,8,0.5,0,0,,2,2,1.0,5,1,6,1,1,5,1,2,10,13.2,21.0,adamsst01,C
26,2022-12-17,29-150,MEM,@,OKC,L (-6),1,28.6,3,5,0.6,0,0,,3,5,0.6,2,5,7,2,2,2,2,6,9,9.2,7.0,adamsst01,C
27,2022-12-20,29-153,MEM,@,DEN,L (-14),1,30.1,2,5,0.4,0,0,,0,0,,4,6,10,2,1,0,2,2,4,5.5,-8.0,adamsst01,C
28,2022-12-23,29-156,MEM,@,PHO,W (+25),1,22.2,3,5,0.6,0,0,,0,4,0.0,7,4,11,2,1,1,0,0,6,11.3,16.0,adamsst01,C
29,2022-12-25,29-158,MEM,@,GSW,L (-14),1,21.2,2,6,0.333,0,0,,2,2,1.0,7,7,14,1,0,1,0,2,6,10.2,2.0,adamsst01,C
30,2022-12-27,29-160,MEM,,PHO,L (-17),1,25.3,3,5,0.6,0,0,,0,0,,3,6,9,1,0,1,1,1,6,7.6,-13.0,adamsst01,C
31,2022-12-29,29-162,MEM,@,TOR,W (+13),1,32.3,7,11,0.636,0,0,,0,2,0.0,8,9,17,3,1,0,2,1,14,17.3,17.0,adamsst01,C
32,2022-12-31,29-164,MEM,,NOP,W (+15),1,27.2,4,6,0.667,0,0,,2,6,0.333,5,16,21,3,2,2,0,3,10,18.4,-1.0,adamsst01,C
33,2023-01-01,29-165,MEM,,SAC,W (+10),1,34.5,5,12,0.417,0,0,,1,2,0.5,13,10,23,3,1,2,4,4,11,15.2,4.0,adamsst01,C
34,2023-01-04,29-168,MEM,@,CHA,W (+24),1,27.2,3,7,0.429,0,0,,3,7,0.429,4,11,15,2,1,2,2,1,9,11.2,24.0,adamsst01,C
35,2023-01-05,29-169,MEM,@,ORL,W (+8),1,30.2,2,5,0.4,0,0,,0,1,0.0,1,5,6,0,1,0,2,5,4,0.1,-5.0,adamsst01,C
36,2023-01-09,29-173,MEM,,SAS,W (+8),1,28.3,5,7,0.714,0,0,,3,11,0.273,4,11,15,4,1,0,2,0,13,14.8,11.0,adamsst01,C
37,2023-01-11,29-175,MEM,,SAS,W (+6),1,32.5,5,7,0.714,0,0,,1,2,0.5,7,11,18,5,1,3,1,2,11,20.7,14.0,adamsst01,C
38,2023-01-14,29-178,MEM,@,IND,W (+18),1,22.1,4,4,1.0,0,0,,2,2,1.0,3,6,9,2,0,1,3,3,10,10.6,16.0,adamsst01,C
39,2023-01-16,29-180,MEM,,PHO,W (+30),1,24.1,4,5,0.8,0,0,,0,0,,5,4,9,2,0,0,1,3,8,10.0,17.0,adamsst01,C
40,2023-01-18,29-182,MEM,,CLE,W (+1),1,28.4,6,8,0.75,0,0,,1,2,0.5,5,5,10,4,1,0,1,3,13,16.0,-8.0,adamsst01,C
41,2023-01-20,29-184,MEM,@,LAL,L (-1),1,25.8,6,7,0.857,0,0,,4,9,0.444,8,9,17,2,0,1,1,2,16,20.1,-1.0,adamsst01,C
42,2023-01-22,29-186,MEM,@,PHO,L (-2),1,32.5,3,9,0.333,0,0,,4,7,0.571,8,8,16,2,3,0,3,2,10,12.3,1.0,adamsst01,C
1,2022-10-19,25-093,MIA,,CHI,L (-8),1,34.0,5,15,0.333,0,0,,2,3,0.667,1,8,9,2,0,1,5,4,12,1.7,-15.0,adebaba01,C
2,2022-10-21,25-095,MIA,,BOS,L (-7),1,34.9,8,11,0.727,0,0,,3,4,0.75,3,5,8,5,2,0,5,4,19,16.6,20.0,adebaba01,C
3,2022-10-22,25-096,MIA,,TOR,W (+3),1,35.7,4,6,0.667,0,1,0.0,2,2,1.0,0,7,7,1,0,0,3,3,10,6.0,5.0,adebaba01,C
4,2022-10-24,25-098,MIA,,TOR,L (-8),1,37.7,4,14,0.286,0,0,,6,6,1.0,4,6,10,3,1,2,3,1,14,11.5,5.0,adebaba01,C
5,2022-10-26,25-100,MIA,@,POR,W (+21),1,28.4,6,11,0.545,0,1,0.0,6,7,0.857,3,5,8,3,1,0,3,3,18,14.8,17.0,adebaba01,C
6,2022-10-27,25-101,MIA,@,GSW,L (-13),1,37.7,10,13,0.769,0,0,,6,8,0.75,4,4,8,1,4,3,5,2,26,25.1,-12.0,adebaba01,C
7,2022-10-29,25-103,MIA,@,SAC,L (-6),1,37.7,9,16,0.563,0,0,,5,6,0.833,2,4,6,4,0,2,1,6,23,18.4,6.0,adebaba01,C
8,2022-11-01,25-106,MIA,,GSW,W (+7),1,37.2,8,15,0.533,0,0,,3,3,1.0,1,6,7,6,3,1,2,4,19,18.5,0.0,adebaba01,C
9,2022-11-02,25-107,MIA,,SAC,W (+3),1,32.1,9,16,0.563,0,0,,2,2,1.0,2,9,11,6,0,0,4,5,20,14.7,2.0,adebaba01,C
10,2022-11-04,25-109,MIA,@,IND,L (-2),1,33.9,7,14,0.5,0,1,0.0,4,4,1.0,3,7,10,4,1,0,5,4,18,12.4,3.0,adebaba01,C
11,2022-11-07,25-112,MIA,,POR,L (-3),1,33.4,8,14,0.571,0,0,,0,1,0.0,2,3,5,3,1,1,1,1,16,13.7,2.0,adebaba01,C
12,2022-11-10,25-115,MIA,,CHA,W (+5),1,38.6,6,15,0.4,0,1,0.0,6,6,1.0,2,12,14,4,2,0,5,5,18,12.7,9.0,adebaba01,C
13,2022-11-12,25-117,MIA,,CHA,W (+17),1,33.1,11,18,0.611,0,0,,2,3,0.667,1,14,15,4,1,1,5,4,24,18.2,19.0,adebaba01,C
14,2022-11-14,25-119,MIA,,PHO,W (+1),1,36.2,9,18,0.5,0,1,0.0,12,14,0.857,6,4,10,1,1,0,3,2,30,23.5,12.0,adebaba01,C
15,2022-11-20,25-125,MIA,@,CLE,L (-26),1,27.0,7,14,0.5,0,0,,7,7,1.0,2,4,6,3,0,1,3,2,21,15.6,-20.0,adebaba01,C
16,2022-11-21,25-126,MIA,@,MIN,L (-4),1,35.0,7,18,0.389,0,2,0.0,3,6,0.5,4,10,14,5,0,2,1,5,17,13.7,-11.0,adebaba01,C
17,2022-11-23,25-128,MIA,,WAS,W (+8),1,35.4,5,15,0.333,0,0,,5,6,0.833,4,7,11,2,2,1,2,4,15,11.5,6.0,adebaba01,C
18,2022-11-25,25-130,MIA,,WAS,W (+3),1,35.3,15,22,0.682,0,1,0.0,8,8,1.0,3,9,12,3,0,0,0,4,38,33.9,1.0,adebaba01,C
19,2022-11-27,25-132,MIA,@,ATL,W (+8),1,33.7,13,20,0.65,0,0,,6,6,1.0,1,7,8,1,0,1,3,2,32,23.6,1.0,adebaba01,C
20,2022-11-30,25-135,MIA,@,BOS,L (-13),1,38.4,10,19,0.526,1,1,1.0,2,2,1.0,1,5,6,5,2,0,5,5,23,14.4,-6.0,adebaba01,C
21,2022-12-02,25-137,MIA,@,BOS,W (+4),1,38.5,10,18,0.556,0,0,,8,9,0.889,1,6,7,3,1,1,2,3,28,22.1,7.0,adebaba01,C
22,2022-12-05,25-140,MIA,@,MEM,L (-8),1,38.7,5,13,0.385,0,0,,5,5,1.0,1,4,5,4,0,0,1,0,15,11.6,9.0,adebaba01,C
23,2022-12-06,25-141,MIA,,DET,L (-20),1,34.2,9,16,0.563,0,0,,3,6,0.5,1,14,15,2,0,1,5,3,21,13.0,-12.0,adebaba01,C
24,2022-12-08,25-143,MIA,,LAC,W (+5),1,36.4,14,21,0.667,0,0,,3,3,1.0,4,6,10,4,1,0,2,0,31,28.3,13.0,adebaba01,C
25,2022-12-10,25-145,MIA,,SAS,L (-4),1,32.3,5,11,0.455,0,1,0.0,2,5,0.4,2,7,9,4,0,0,0,3,12,10.2,4.0,adebaba01,C
26,2022-12-12,25-147,MIA,@,IND,W (+5),1,35.3,8,18,0.444,0,0,,6,7,0.857,2,15,17,3,2,1,4,2,22,18.1,1.0,adebaba01,C
27,2022-12-14,25-149,MIA,@,OKC,W (+2),1,33.1,5,13,0.385,0,0,,5,6,0.833,2,11,13,3,2,0,5,6,15,8.9,-14.0,adebaba01,C
28,2022-12-17,25-152,MIA,@,SAS,W (+10),1,35.9,11,18,0.611,0,0,,0,0,,4,9,13,3,1,0,4,4,22,16.8,29.0,adebaba01,C
29,2022-12-20,25-155,MIA,,CHI,L (-10),1,36.7,12,15,0.8,0,0,,3,4,0.75,3,9,12,6,0,0,3,1,27,26.5,-18.0,adebaba01,C
30,2022-12-23,25-158,MIA,,IND,L (-3),1,37.7,8,19,0.421,0,0,,2,2,1.0,5,2,7,3,0,0,3,2,18,10.3,1.0,adebaba01,C
31,2022-12-28,25-163,MIA,,LAL,W (+14),1,39.2,10,16,0.625,0,0,,3,6,0.5,5,9,14,0,1,2,1,4,23,20.6,24.0,adebaba01,C
32,2022-12-30,25-165,MIA,@,DEN,L (-5),1,30.2,6,14,0.429,0,0,,10,11,0.909,4,3,7,2,4,2,4,3,22,19.5,-4.0,adebaba01,C
33,2022-12-31,25-166,MIA,@,UTA,W (+3),1,36.1,11,17,0.647,0,0,,10,13,0.769,5,3,8,5,1,0,2,5,32,28.2,6.0,adebaba01,C
34,2023-01-02,25-168,MIA,@,LAC,W (+10),1,36.9,12,19,0.632,0,0,,7,8,0.875,5,8,13,1,1,1,3,2,31,26.6,11.0,adebaba01,C
35,2023-01-04,25-170,MIA,@,LAL,L (-3),1,37.9,13,23,0.565,0,0,,4,5,0.8,6,7,13,3,2,3,2,2,30,28.4,2.0,adebaba01,C
36,2023-01-06,25-172,MIA,@,PHO,W (+8),1,38.2,10,15,0.667,0,0,,1,4,0.25,1,10,11,2,2,1,1,1,21,19.7,17.0,adebaba01,C
37,2023-01-08,25-174,MIA,,BKN,L (-1),1,28.2,5,15,0.333,0,0,,0,3,0.0,4,4,8,2,0,1,0,1,10,6.0,-25.0,adebaba01,C
38,2023-01-12,25-178,MIA,,MIL,W (+6),1,34.1,11,19,0.579,0,0,,2,2,1.0,2,10,12,1,2,1,0,2,24,22.1,8.0,adebaba01,C
39,2023-01-14,25-180,MIA,,MIL,W (+16),1,31.0,9,19,0.474,0,0,,2,4,0.5,3,10,13,2,0,2,1,3,20,15.2,18.0,adebaba01,C
40,2023-01-16,25-182,MIA,@,ATL,L (-8),1,36.2,9,19,0.474,0,0,,2,2,1.0,6,7,13,5,3,3,3,3,20,21.0,6.0,adebaba01,C
41,2023-01-18,25-184,MIA,@,NOP,W (+26),1,30.6,11,15,0.733,0,0,,4,6,0.667,3,5,8,1,2,1,2,2,26,23.3,16.0,adebaba01,C
42,2023-01-20,25-186,MIA,@,DAL,L (-25),1,34.8,7,14,0.5,0,0,,4,6,0.667,2,9,11,4,0,0,2,2,18,14.3,-18.0,adebaba01,C
43,2023-01-22,25-188,MIA,,NOP,W (+4),1,34.6,7,12,0.583,0,0,,4,4,1.0,3,6,9,2,2,0,2,1,18,17.3,-2.0,adebaba01,C
44,2023-01-24,25-190,MIA,,BOS,W (+3),1,37.3,12,22,0.545,0,0,,6,8,0.75,4,11,15,1,2,1,3,2,30,24.3,3.0,adebaba01,C
45,2023-01-27,25-193,MIA,,ORL,W (+5),1,36.5,7,14,0.5,0,0,,6,7,0.857,0,6,6,7,1,1,2,5,20,17.0,4.0,adebaba01,C
46,2023-01-29,25-195,MIA,@,CHA,L (-5),1,36.0,8,15,0.533,0,0,,1,4,0.25,2,2,4,6,3,0,2,0,17,15.7,5.0,adebaba01,C
47,2023-01-31,25-197,MIA,@,CLE,W (+3),1,37.2,7,13,0.538,0,0,,4,6,0.667,4,7,11,1,0,0,0,3,18,15.3,-6.0,adebaba01,C
48,2023-02-02,25-199,MIA,@,NYK,L (-2),1,37.6,11,16,0.688,0,0,,10,11,0.909,1,8,9,3,2,1,0,1,32,32.3,5.0,adebaba01,C
49,2023-02-04,25-201,MIA,@,MIL,L (-8),1,35.7,7,15,0.467,0,0,,2,2,1.0,4,7,11,8,2,0,1,3,16,18.6,0.0,adebaba01,C
50,2023-02-08,25-205,MIA,,IND,W (+5),1,36.9,12,16,0.75,0,0,,14,14,1.0,2,7,9,3,1,0,2,2,38,35.4,2.0,adebaba01,C
51,2023-02-10,25-207,MIA,,HOU,W (+2),1,34.0,7,11,0.636,0,0,,6,7,0.857,1,8,9,3,2,1,3,5,20,17.6,21.0,adebaba01,C
52,2023-02-11,25-208,MIA,@,ORL,W (+4),1,43.4,5,10,0.5,0,1,0.0,3,4,0.75,1,16,17,6,2,1,4,2,13,15.2,13.0,adebaba01,C
53,2023-02-13,25-210,MIA,,DEN,L (-4),1,34.4,6,14,0.429,0,0,,7,7,1.0,0,2,2,2,2,1,1,2,19,14.5,-6.0,adebaba01,C
54,2023-02-15,25-212,MIA,@,BKN,L (-11),1,37.8,10,19,0.526,0,0,,4,7,0.571,2,11,13,6,0,2,2,2,24,21.0,-17.0,adebaba01,C
55,2023-02-24,25-221,MIA,@,MIL,L (-29),1,25.0,8,17,0.471,0,1,0.0,2,4,0.5,1,6,7,1,1,0,2,1,18,10.3,-18.0,adebaba01,C
56,2023-02-25,25-222,MIA,@,CHA,L (-5),1,31.3,6,14,0.429,0,0,,2,3,0.667,2,4,6,4,2,0,2,5,14,9.6,-15.0,adebaba01,C
57,2023-02-27,25-224,MIA,@,PHI,W (+2),1,32.2,4,14,0.286,0,0,,5,6,0.833,2,5,7,2,1,1,5,3,13,4.2,-7.0,adebaba01,C
58,2023-03-01,25-226,MIA,,PHI,L (-23),1,29.9,8,13,0.615,0,0,,4,4,1.0,2,6,8,2,1,0,2,0,20,17.7,-17.0,adebaba01,C
